Match ID,Date,Team 1,Team 2,Team 1 Confederation,Team 2 Confederation,Matchup_ID,Winner (or Draw),Winner_confederation,Win not Draw,Team 1 Goals,Team 2 Goals,Goal Differential,Absolute Goal Differential,Total Goals,Team 1 Yellow Cards,Team 1 Red Cards,Team 1 cards,Team 2 Yellow Cards,Team 2 Red Cards,team 2 cards,Total Cards,Team 1 Fouls,Team 2 Fouls,Foul Difference for Favorite,Abs foul difference,Higher Ranked Team Fouled More,Higher Ranked Team Fouled More and Lost or Drew,Lower Ranked Team Fouls More and Wins or Draws,Higher SPI Team Fouled More,Higher SPI Team Fouled More and Lost or Drew,Lower SPI Team Fouls More or as much and Wins or Draws,Team that fouled more,Fouls are equal,Team that fouled more won,Total Fouls,Team 1 Ranking (WC teams),Team 2 Ranking (WC teams),Ranking Gap,Higher Rated Team Won,Higher Rated Team Won or Drew,Large Ranking Gap,"High rank win, large gap","High rank loss, large gap",Team 1 SPI,Team 2 SPI,Higher SPI Team Won,Higher SPI Team Won or Drew,Large SPI Gap,"High SPI win, large gap","High SPI loss, large gap",Big underdog fouls more,"big underdog fouls more, wins/draws",SPI Gap,Goal Differential for Favorite,AFC fouls,CAF fouls,CONCACAF fouls,CONMEBOL fouls,UEFA fouls,AFC cards,CAF cards,CONCACAF cards,CONMEBOL cards,UEFA cards
400987430,2018-06-18,Tunisia,England,CAF,UEFA,2,England,UEFA,1,1,2,-1,1,3,0,0,0,1,0,1,1,14,8,-6,6,0,0,0,0,0,0,Tunisia,0,0,22,17,11,6,1,1,0,0,0,59.59496,83.72824,1,1,1,1,0,1,0,24.13328,1,FALSE,14,FALSE,FALSE,8,FALSE,0,FALSE,FALSE,1
400987432,2018-06-19,Colombia,Japan,CONMEBOL,AFC,18,Japan,AFC,1,1,2,-1,1,3,2,1,3,1,0,1,4,15,9,6,6,1,1,0,1,1,0,Colombia,0,0,24,15,30,15,0,0,1,0,1,80.52894,71.43255,0,0,1,0,1,0,0,9.09639,-1,9,FALSE,FALSE,15,FALSE,1,FALSE,FALSE,3,FALSE
400987431,2018-06-19,Poland,Senegal,UEFA,CAF,2,Senegal,CAF,1,1,2,-1,1,3,1,0,1,2,0,2,3,8,15,-7,7,0,0,1,0,0,1,Senegal,0,1,23,8,21,13,0,0,1,0,1,73.28044,65.96802,0,0,0,0,0,0,0,7.31242,-1,FALSE,15,FALSE,FALSE,8,FALSE,2,FALSE,FALSE,1
400987433,2018-06-19,Russia,Egypt,UEFA,CAF,2,Russia,UEFA,1,3,1,2,2,4,1,0,1,1,0,1,2,11,10,1,1,0,0,1,1,0,0,Russia,0,1,21,32,26,6,0,0,0,0,0,70.14205,62.46236,1,1,0,0,0,0,0,7.67969,2,FALSE,10,FALSE,FALSE,11,FALSE,1,FALSE,FALSE,1
400987434,2018-06-20,Portugal,Morocco,UEFA,CAF,2,Portugal,UEFA,1,1,0,1,1,1,1,0,1,1,0,1,2,19,23,-4,4,0,0,0,0,0,0,Morocco,0,0,42,4,25,21,1,1,1,1,0,83.46619,72.33079,1,1,1,1,0,1,0,11.1354,1,FALSE,23,FALSE,FALSE,19,FALSE,1,FALSE,FALSE,1
400987435,2018-06-20,Uruguay,Saudi Arabia,CONMEBOL,AFC,18,Uruguay,CONMEBOL,1,1,0,1,1,1,0,0,0,0,0,0,0,10,13,-3,3,0,0,0,0,0,0,Saudi Arabia,0,0,23,13,31,18,1,1,1,1,0,79.52363,51.3338,1,1,1,1,0,1,0,28.18983,1,13,FALSE,FALSE,10,FALSE,0,FALSE,FALSE,0,FALSE
400987436,2018-06-20,Iran,Spain,AFC,UEFA,6,Spain,UEFA,1,0,1,-1,1,1,2,0,2,0,0,0,2,14,14,0,0,0,0,0,0,0,0,FALSE,1,0,28,24,9,15,1,1,1,1,0,65.56769,91.30254,1,1,1,1,0,0,0,25.73485,1,14,FALSE,FALSE,FALSE,14,2,FALSE,FALSE,FALSE,0
400987438,2018-06-21,Denmark,Australia,UEFA,AFC,6,draw,,0,1,1,0,0,2,2,0,2,0,0,0,2,7,5,2,2,1,1,0,1,1,0,Denmark,0,0,12,11,23,12,0,1,1,0,0,74.74844,61.68548,0,1,1,0,0,0,0,13.06296,0,5,FALSE,FALSE,FALSE,7,0,FALSE,FALSE,FALSE,2
400987437,2018-06-21,France,Peru,UEFA,CONMEBOL,4,France,UEFA,1,1,0,1,1,1,2,0,2,2,0,2,4,12,14,-2,2,0,0,0,0,0,0,Peru,0,0,26,7,10,3,1,1,0,0,0,87.17682,72.15616,1,1,1,1,0,1,0,15.02066,1,FALSE,FALSE,FALSE,14,12,FALSE,FALSE,FALSE,2,2
400987439,2018-06-21,Argentina,Croatia,CONMEBOL,UEFA,4,Croatia,UEFA,1,0,3,-3,3,3,3,0,3,4,0,4,7,15,23,-8,8,0,0,1,0,0,1,Croatia,0,1,38,5,16,11,0,0,1,0,1,87.41192,80.38099,0,0,0,0,0,0,0,7.03093,-3,FALSE,FALSE,FALSE,15,23,FALSE,FALSE,FALSE,3,4
